Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp (W),Dry bulb temperature (degC),Relative humidity (%RH),Atmospheric pressure (mb),Precipitation (mm) accumulated daily total,Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Diffuse horizontal irradiance (W/m2)
2012-08-14T06:15:40,72.6,15.5,4.5086,17.9,51.8,823.4,0.0,266.7,118.3,66.6
2012-08-14T06:30:40,107.1,16.3,6.4132,19.2,50.3,823.4,0.0,308.6,153.6,82.2
2012-08-14T06:45:40,149.2,18.5,9.0288,20.4,46.0,823.3,0.0,359.2,197.6,95.9
2012-08-14T07:00:40,203.4,21.7,12.7902,22.2,38.1,823.1,0.0,436.9,256.7,110.4
2012-08-14T07:15:40,260.0,24.6,17.1025,22.5,38.3,823.4,0.0,491.8,308.3,123.3
2012-08-14T07:30:39,315.7,28.4,21.3916,24.5,32.1,823.0,0.0,532.0,357.4,134.0
2012-08-14T07:45:40,370.6,31.9,25.7668,25.6,33.2,823.3,0.0,562.7,404.5,144.6
2012-08-14T08:00:40,429.4,33.2,30.5718,24.8,40.2,822.8,0.0,591.4,456.7,154.9
2012-08-14T08:15:40,486.4,37.1,34.716,26.9,28.3,822.9,0.0,617.5,503.1,165.1
2012-08-14T08:30:40,541.8,40.2,38.7009,27.7,28.4,822.9,0.0,640.8,549.0,171.6
2012-08-14T08:45:40,595.1,42.4,42.5362,28.6,30.8,822.8,0.0,661.2,590.4,177.3
2012-08-14T09:00:40,651.3,45.6,46.2089,29.6,27.0,822.6,0.0,684.5,636.3,184.5
2012-08-14T09:15:40,702.9,46.1,50.0776,29.6,25.9,822.7,0.0,699.8,678.3,189.8
2012-08-14T09:30:40,747.2,46.9,53.0263,29.5,25.1,822.8,0.0,711.1,710.2,193.9
2012-08-14T09:45:40,790.5,48.1,55.8942,30.0,24.4,822.2,0.0,724.4,744.7,195.8
2012-08-14T10:00:40,834.3,50.7,58.4054,30.9,21.5,822.6,0.0,742.4,781.0,200.3
2012-08-14T10:15:40,871.5,50.8,60.8703,30.8,20.9,821.9,0.0,753.7,809.9,203.4
2012-08-14T10:30:40,903.5,51.7,62.7533,31.2,19.7,822.2,0.0,758.3,833.7,206.4
2012-08-14T10:45:40,949.6,54.6,65.0672,32.3,21.1,822.2,0.0,783.0,871.3,212.4
2012-08-14T11:00:40,957.9,52.9,66.2207,31.8,19.2,821.7,0.0,762.8,871.2,215.5
2012-08-14T11:15:40,1015.8,55.5,69.3502,32.3,19.4,821.3,0.0,793.6,918.9,226.1
2012-08-14T12:00:40,1033.1,57.7,69.9773,33.5,15.9,821.4,0.0,784.0,927.5,232.1
2012-08-14T12:15:40,1018.9,57.6,68.8816,33.9,16.0,821.1,0.0,785.0,914.9,220.7
2012-08-14T12:30:40,1018.6,56.2,69.0623,34.3,13.4,820.8,0.0,786.0,923.0,234.0
2012-08-14T12:45:40,1014.5,60.4,67.8089,34.9,12.5,820.7,0.0,790.3,919.9,233.6
2012-08-14T13:00:40,1003.2,60.2,66.4706,34.9,12.2,820.5,0.0,820.7,908.6,209.3
2012-08-14T13:15:40,984.3,52.6,67.3348,36.0,12.8,820.2,0.0,811.4,888.5,202.5
2012-08-14T13:30:40,957.3,54.9,64.7918,36.6,8.1,820.2,0.0,811.3,868.4,201.7
2012-08-14T13:45:40,950.5,55.6,64.3114,37.0,8.3,820.0,0.0,826.1,862.1,199.0
2012-08-14T14:00:40,899.6,52.4,61.7971,36.2,7.9,819.9,0.0,805.6,820.6,189.5
2012-08-14T14:15:40,859.3,52.1,59.0606,36.8,7.2,819.9,0.0,786.9,783.6,191.0
2012-08-14T14:30:40,829.5,55.0,56.7367,36.3,8.3,819.8,0.0,783.5,767.8,200.9
2012-08-14T14:45:40,788.9,54.5,54.2899,37.2,7.8,819.8,0.0,763.2,744.6,207.8
2012-08-14T15:00:40,273.5,49.4,18.9862,36.6,8.4,819.7,0.0,39.1,248.0,234.0
2012-08-14T15:15:40,707.8,48.3,49.9558,35.3,11.5,819.7,0.0,721.4,681.9,225.2
2012-08-14T15:45:40,526.9,37.6,38.1043,33.2,12.8,819.6,0.0,602.1,523.0,188.8
2012-08-14T16:00:40,462.3,43.9,32.2712,34.7,13.1,819.4,0.0,566.6,467.8,179.7
2012-08-14T16:30:40,185.7,38.3,12.8772,34.0,14.0,819.7,0.0,104.6,181.5,149.3
2012-08-14T16:45:40,118.2,35.0,8.0096,32.5,15.4,820.1,0.0,17.4,114.9,116.3
2012-08-14T17:00:40,105.2,30.9,7.0658,31.1,17.2,819.9,0.0,22.7,103.6,103.7
2012-08-14T17:15:40,168.2,31.1,10.743,31.3,17.4,819.4,0.0,230.4,204.1,141.7
2012-08-14T17:30:40,107.3,30.8,7.2477,31.0,18.4,820.0,0.0,22.4,125.0,128.8
2012-08-14T17:45:40,113.6,30.0,6.9717,31.2,17.3,819.8,0.0,257.8,150.1,106.8
2012-08-14T18:00:40,61.6,28.5,4.1198,30.4,18.1,819.9,0.0,94.7,77.3,72.6
2012-08-15T06:15:40,65.5,22.2,4.4692,24.0,25.3,820.6,0.0,111.8,90.6,72.3
2012-08-15T06:30:40,92.6,22.8,6.2083,24.0,25.1,820.9,0.0,123.9,119.5,93.2
2012-08-15T06:45:40,126.6,23.8,8.3767,24.5,24.6,820.5,0.0,159.1,157.2,114.9
2012-08-15T07:00:40,164.4,25.0,10.8548,25.2,23.7,821.0,0.0,192.9,197.5,136.2
2012-08-15T07:15:40,206.9,26.3,13.8099,25.6,22.8,821.3,0.0,231.4,240.2,156.4
2012-08-15T07:30:40,253.7,27.7,17.2571,26.1,22.0,821.1,0.0,264.9,285.5,177.3
2012-08-15T07:45:40,301.8,29.1,20.8308,26.7,20.7,820.6,0.0,292.6,330.8,197.8
2012-08-15T08:00:40,351.7,31.2,24.5995,27.4,20.0,820.6,0.0,325.7,377.3,211.5
2012-08-15T08:15:39,405.9,33.0,28.6131,28.0,18.5,820.7,0.0,358.2,423.1,231.3
2012-08-15T08:30:40,476.2,35.6,34.163,29.0,17.5,821.2,0.0,412.1,489.2,250.7
2012-08-15T08:45:40,527.1,37.9,37.798,29.7,17.0,820.7,0.0,430.8,529.4,264.7
2012-08-15T09:00:40,575.0,39.5,41.2701,30.2,16.6,821.1,0.0,449.2,566.4,274.2
2012-08-15T09:15:40,631.5,42.2,45.0755,31.6,15.4,821.4,0.0,481.6,612.8,285.2
2012-08-15T09:30:40,679.5,47.1,47.7411,32.8,14.2,820.9,0.0,502.3,654.9,299.6
2012-08-15T09:45:40,720.0,50.8,50.1288,33.0,21.6,821.3,0.0,506.9,689.4,315.2
2012-08-15T10:00:40,755.0,50.1,52.8342,32.2,21.5,820.8,0.0,515.5,723.2,329.6
2012-08-15T10:15:40,811.7,51.4,56.4432,32.9,19.0,821.2,0.0,554.3,773.4,335.6
2012-08-15T10:30:40,840.1,53.5,57.9186,33.8,16.9,821.1,0.0,547.5,795.9,353.0
2012-08-15T11:00:40,872.0,47.9,61.3832,33.3,15.1,820.4,0.0,547.1,832.2,368.2
2012-08-15T11:15:40,948.5,52.0,65.598,34.2,13.8,820.7,0.0,570.8,896.2,402.7
2012-08-15T11:30:40,395.2,51.4,28.1596,35.0,12.5,820.7,0.0,27.4,482.9,393.2
2012-08-15T11:45:40,963.9,49.3,67.1411,34.0,12.6,820.8,0.0,565.1,916.2,419.0
2012-08-15T12:15:40,333.9,43.9,24.271,34.8,11.1,820.5,0.0,0.3,331.6,343.8
2012-08-15T12:30:40,361.7,43.9,26.2353,34.4,11.9,820.1,0.0,3.0,373.6,387.1
2012-08-15T13:15:40,315.6,43.4,22.8653,34.1,12.2,820.6,0.0,1.3,324.0,334.3
2012-08-15T14:00:40,284.9,39.0,20.8513,33.4,12.1,819.9,0.0,0.7,294.5,305.1
2012-08-15T14:15:40,318.3,40.0,23.4226,33.6,12.3,820.2,0.0,5.0,311.5,317.2
2012-08-15T14:30:40,307.5,44.6,22.3883,34.7,11.9,820.3,0.0,6.4,278.2,281.5
2012-08-15T14:45:40,716.8,52.1,49.7142,35.3,11.3,820.3,0.0,507.3,702.8,356.0
2012-08-15T15:00:40,277.6,41.5,20.1941,33.0,12.9,819.8,0.0,5.0,282.0,290.7
2012-08-15T15:30:40,179.5,36.0,12.8756,32.3,12.6,820.1,0.0,0.3,192.8,204.0
2012-08-15T15:45:39,500.8,37.2,35.8958,32.8,12.8,819.9,0.0,475.2,505.6,245.1
2012-08-15T16:30:40,87.4,28.4,6.3319,28.3,23.3,822.0,0.0,3.0,82.3,83.2
2012-08-15T17:00:40,179.0,28.2,11.799,27.5,28.3,822.1,0.0,170.9,200.4,146.3
2012-08-15T17:15:40,142.3,27.7,9.234,27.1,29.6,822.2,0.0,138.2,167.1,132.6
2012-08-15T17:30:40,126.9,26.9,8.003,26.8,30.5,822.9,0.0,176.3,157.1,119.0
2012-08-15T17:45:40,66.5,25.4,4.6967,25.7,31.7,822.9,0.0,21.7,76.0,77.5
2012-08-16T06:15:40,67.4,13.5,4.7496,13.5,74.6,828.6,0.0,0.3,79.3,79.6
2012-08-16T06:30:40,81.3,14.0,5.8267,13.7,73.9,828.5,0.0,1.0,86.2,88.7
